Row;SYN-based;DATA-based;ACK-based
62.39.148.2986.64.231.45;1;1;1
154.54.3.7038.104.85.130;1;1;1
213.155.135.8562.115.167.237;1;1;0
114.31.192.3749.255.255.4;0;0;1
2.228.255.130217.171.232.254;1;1;1
217.141.252.22731.199.16.29;1;1;1
81.183.3.14481.183.3.161;0;1;0
93.158.217.14993.158.217.233;1;0;0
62.196.52.23862.196.54.26;1;1;1
90.147.80.20590.147.80.218;1;1;1
90.147.80.20590.147.80.214;1;1;1
80.239.130.146217.170.9.102;1;1;1
213.80.86.252212.112.170.131;1;1;1
203.118.6.101203.116.7.42;0;0;1
206.248.155.1876.10.144.179;0;1;0
216.55.160.6216.55.160.81;1;0;0
149.14.92.82205.147.94.55;1;1;0
217.196.157.34193.41.136.14;1;1;1
84.116.132.184.116.136.117;1;1;1
192.56.26.17199.228.169.204;1;0;0
154.25.5.14154.25.9.233;0;1;0
62.115.138.23662.115.142.217;0;1;1
154.54.6.221154.54.44.169;1;0;0
154.54.56.129154.54.57.154;1;1;1
154.54.31.97154.54.7.233;1;0;1
80.64.96.218216.66.93.54;1;0;0
185.205.208.162212.39.69.165;1;0;0
124.108.116.0124.108.117.132;0;1;0
185.73.89.10691.239.66.125;1;1;1
23.57.99.24572.52.1.189;0;0;1
62.115.133.22662.115.112.61;1;1;1
195.141.217.183195.141.235.242;1;1;1
88.81.245.25277.88.200.222;0;1;0
12.122.2.18912.123.152.109;1;1;1
217.29.66.22431.7.145.1;1;0;0
154.54.30.638.32.70.34;1;1;0
62.115.135.16362.115.162.249;1;1;1
145.222.130.26145.222.130.235;1;1;1
217.197.214.30217.197.214.2;1;1;1
81.201.117.2181.29.200.158;0;0;1
154.54.46.158154.24.32.86;0;0;1
210.79.13.18210.79.13.46;1;1;1
213.192.64.6213.192.65.26;1;1;1
95.59.172.2695.59.170.132;1;0;0
81.17.63.581.17.57.242;0;1;0
81.17.63.581.17.57.243;1;0;0
77.243.32.56217.63.125.59;1;1;1
216.115.100.10216.115.105.29;0;1;0
176.56.233.229217.170.23.237;1;0;0
93.186.129.19193.186.129.193;0;0;1
130.117.14.944.69.167.196;0;1;0
154.25.5.198149.6.131.12;0;1;0
77.245.26.977.245.26.30;1;1;1
154.54.80.19038.122.228.202;0;1;1
94.31.36.178195.248.70.34;1;1;1
62.115.176.24383.168.243.156;1;1;1
154.54.57.53149.6.39.94;1;0;0
62.115.142.21162.115.45.30;0;1;1
216.80.5.26216.80.5.51;1;1;1
62.218.116.6691.238.225.230;1;0;0
64.125.29.8064.125.29.17;1;1;1
130.117.14.6263.218.72.222;1;1;1
64.125.28.9964.125.30.109;1;1;1
151.6.5.145151.7.84.157;0;0;1
62.115.121.9213.248.99.182;0;0;1
103.1.76.136103.1.77.65;0;1;1
83.167.254.15581.31.41.141;1;1;1
203.174.64.93203.174.64.126;0;0;1
195.246.243.253217.156.103.242;1;1;1
38.122.63.14108.59.15.173;1;0;0
62.115.135.7062.115.112.143;1;1;1
80.239.194.16685.22.74.89;1;1;1
62.115.135.7062.115.112.147;1;0;0
149.6.30.94195.29.224.121;0;0;1
184.105.65.1365.49.108.18;1;1;1
38.88.188.42206.51.207.65;0;1;1
178.19.49.151213.181.114.217;1;1;1
64.94.32.6966.151.31.178;0;1;0
77.109.128.23877.109.140.206;1;1;1
154.54.36.58130.117.2.2;0;1;1
131.227.254.233131.227.254.118;1;1;1
37.128.137.11337.128.137.199;1;1;1
104.44.17.84104.44.11.56;0;0;1
149.11.111.18185.143.169.10;1;1;1
85.92.76.22985.92.93.21;1;1;1
90.147.80.210217.29.66.209;1;1;1
90.147.80.210217.29.66.208;1;1;1
154.54.37.238130.117.14.110;1;1;1
130.117.3.238154.54.57.114;1;0;0
62.40.98.11791.210.16.147;1;1;1
130.242.4.48130.242.4.173;1;1;1
64.71.132.14269.10.128.70;1;0;0
12.122.135.8612.122.155.198;0;0;1
157.161.254.145157.161.255.142;0;1;1
62.196.52.21062.196.53.162;0;1;0
212.74.65.2562.192.18.10;1;0;0
154.54.61.18154.54.37.238;1;1;1
93.191.173.11209.200.170.172;1;0;0
131.103.116.146190.208.9.81;1;1;1
62.115.123.77213.155.130.101;1;1;1
62.115.151.47213.80.24.21;1;1;1
77.92.159.226212.68.38.62;1;1;1
62.115.123.7762.115.141.111;1;1;0
62.115.123.7762.115.141.113;1;1;1
212.74.67.132213.27.187.138;0;1;0
81.183.3.5581.183.3.43;1;0;0
96.34.2.9196.34.29.115;1;1;1
74.82.46.58203.124.8.245;0;1;1
64.39.238.21216.87.40.1;1;1;1
162.151.190.2650.224.253.194;1;1;1
154.54.11.26152.195.68.145;0;1;1
154.54.36.22154.25.11.234;0;1;1
157.161.254.145157.161.251.10;1;0;0
80.239.135.5262.115.147.79;1;1;1
63.218.94.563.218.219.46;0;1;0
37.252.236.141188.172.236.26;1;1;1
154.54.40.110154.54.41.46;0;1;1
213.239.252.3478.47.242.254;1;1;1
202.83.240.242202.83.240.227;1;1;1
63.235.41.102204.70.224.158;1;1;1
217.115.3.154217.115.0.175;1;0;0
64.125.41.1469.12.69.1;1;0;1
195.2.27.118195.59.142.11;1;1;1
4.69.207.454.16.30.130;0;0;1
93.92.152.2593.92.152.37;1;1;1
87.245.248.69193.242.168.102;1;1;1
178.21.16.6946.45.142.138;0;1;0
144.208.208.140144.208.208.138;1;1;1
184.105.223.193206.81.81.39;1;1;1
151.6.0.76151.6.12.21;0;0;1
64.125.31.25064.125.31.27;1;1;1
209.112.50.90173.237.223.2;1;1;1
80.81.192.165193.27.65.70;1;1;1
217.71.110.77212.62.85.14;1;1;1
82.197.166.8291.206.25.252;1;1;1
